FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
CH0522355954,.GDAXI   14000.0 Call 15/01/21,RWINCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522356739,.GDAXI   11500.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522357034,.GDAXI   13000.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522357091,.GDAXI   13300.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522706008,Leonteq Secs AG (Guernsey Br.)EO-Anl. 20(21) Deutsche Bank,DECFTS,false,EUR,ML61HP3A4MKTTA1ZB671
CH0523585138,EMT SGIS BarrierReverseConvertible,DEDFRI,false,EUR,549300QNMDBVTHX8H127
CH0527362310,.GDAXI   11000.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0527362328,.GDAXI   11050.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0529768670,.GDAXI   10400.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0529789882,EMT SGIS BarrierReverseConvertible,DEDFRS,false,EUR,549300QNMDBVTHX8H127
CH0529789908,EMT SGIS ClassicalReverseConvertibl,DEXXRS,false,EUR,549300QNMDBVTHX8H127
CH0532234033,EMT SGIS PhoenixWithGuaranteedCoupo,DEEFRS,false,USD,549300QNMDBVTHX8H127
CH0532239453,EMT SGIS BarrierReverseConvertible,DEDFRS,false,CHF,549300QNMDBVTHX8H127
CH0532242549,EMT SGIS ClassicalReverseConvertibl,DEXXRS,false,USD,549300QNMDBVTHX8H127
CH0532242614,EMT SGIS BarrierReverseConvertible,DEDFRS,false,USD,549300QNMDBVTHX8H127
CH0535734591,.GDAXI   11500.0 Call 15/01/21,RWINCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0555288809,LQ BARR EXP RACE FCA PIRELLI 60 170725,DEEVRB,false,EUR,ML61HP3A4MKTTA1ZB671
CH0567836108,AAPL.OQ  115.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836116,AAPL.OQ  120.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836132,AAPL.OQ  130.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836140,AAPL.OQ  135.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836157,AAPL.OQ  140.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567840837,AAPL.OQ  165.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567840845,AAPL.OQ  170.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991473,TSLA.OQ  690.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991499,TSLA.OQ  700.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991507,TSLA.OQ  705.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991531,TSLA.OQ  720.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586390194,.GDAXI   13860.0 Call 26/02/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586394014,.GDAXI   13825.0 Call 26/02/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586394022,.GDAXI   13820.0 Call 26/02/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586394246,.GDAXI   13850.0 Call 30/03/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CNE100000445,Shanghai Prime Machinery Ord Shs H,ESVUFB,false,CNY,529900GILL2J4NM9PD20
